instance,seed,Si,Sh,H T (s),Sf,Uf,F T (s),alpha,maxIt,maxTime
06.txt,1,52.0,50.0,28.61,52.391391391391394,N/A,14.22,0.1,1000,300
06.txt,1,52.0,50.0,5.02,52.47752808988764,50,2.54,0.1,1000,5
06.txt,5,51.0,50.0,28.93,52.38538538538538,N/A,14.48,0.1,1000,300
06.txt,5,51.0,50.0,5.01,52.342696629213485,50,2.52,0.1,1000,5
06.txt,10,52.0,50.0,27.93,52.3963963963964,N/A,14.01,0.1,1000,300
06.txt,10,52.0,50.0,5.0,52.36158192090395,50,2.45,0.1,1000,5
06.txt,1,51.0,50.0,30.69,52.412412412412415,N/A,15.32,0.05,1000,300
06.txt,1,51.0,50.0,5.02,52.285714285714285,50,2.45,0.05,1000,5
06.txt,5,53.0,50.0,31.18,52.45545545545546,N/A,15.74,0.05,1000,300
06.txt,5,53.0,50.0,5.01,52.38922155688623,50,2.49,0.05,1000,5
06.txt,10,53.0,50.0,31.01,52.38438438438438,N/A,15.61,0.05,1000,300
06.txt,10,53.0,50.0,5.03,52.33536585365854,50,2.44,0.05,1000,5
06.txt,1,52.0,50.0,30.08,52.3953953953954,N/A,15.18,0.0,1000,300
06.txt,1,52.0,50.0,5.0,52.38509316770186,50,2.48,0.0,1000,5
06.txt,5,55.0,50.0,30.05,52.410410410410414,N/A,15.14,0.0,1000,300
06.txt,5,55.0,50.0,5.01,52.50887573964497,50,2.43,0.0,1000,5
06.txt,10,53.0,50.0,30.24,52.446446446446444,N/A,15.19,0.0,1000,300
06.txt,10,53.0,50.0,5.01,52.391304347826086,50,2.5,0.0,1000,5
06.txt,1,52.0,50.0,300.74,52.362162162162164,50,122.29,0.1,10000,300
06.txt,5,51.0,50.0,300.01,52.33281885786446,50,121.67,0.1,10000,300
06.txt,10,52.0,50.0,300.0,52.34496021220159,50,127.99,0.1,10000,300
06.txt,1,51.0,50.0,300.02,52.344767187271934,50,129.15,0.05,10000,300
06.txt,5,53.0,50.0,300.01,52.35921635921636,50,128.93,0.05,10000,300
06.txt,10,53.0,50.0,300.02,52.3495681721648,50,128.74,0.05,10000,300
06.txt,1,52.0,50.0,301.91,52.36443057722309,50,119.83,0.0,10000,300
06.txt,5,55.0,50.0,300.03,52.34600113442995,50,130.59,0.0,10000,300
06.txt,10,53.0,50.0,300.01,52.35587646554189,50,129.88,0.0,10000,300
